Date,Open,High,Low,Close,O1,O2,O3
3/2/2020,2974.280029,3090.959961,2945.189941,3090.22998,1,1,0
3/3/2020,3096.459961,3136.719971,2976.629883,3003.370117,0,1,0
3/4/2020,3045.75,3130.969971,3034.379883,3130.120117,1,1,0
3/5/2020,3075.699951,3083.040039,2999.830078,3023.939941,0,1,0
3/6/2020,2954.199951,2985.929932,2901.540039,2972.370117,1,1,0
3/9/2020,2863.889893,2863.889893,2734.429932,2746.560059,0,1,0
3/10/2020,2813.47998,2882.590088,2734,2882.22998,1,1,0
3/11/2020,2825.600098,2825.600098,2707.219971,2741.379883,0,1,0
3/12/2020,2630.860107,2660.949951,2478.860107,2480.639893,0,1,0
3/13/2020,2569.98999,2711.330078,2492.370117,2711.02002,1,1,0
3/16/2020,2508.590088,2562.97998,2380.939941,2386.129883,0,1,0
3/17/2020,2425.659912,2553.929932,2367.040039,2529.189941,1,1,0
3/18/2020,2436.5,2453.570068,2280.52002,2398.100098,0,1,0
3/19/2020,2393.47998,2466.969971,2319.780029,2409.389893,1,1,0
3/20/2020,2431.939941,2453.01001,2295.560059,2304.919922,0,1,0
3/23/2020,2290.709961,2300.72998,2191.860107,2237.399902,0,1,0
3/24/2020,2344.439941,2449.709961,2344.439941,2447.330078,1,1,1
3/25/2020,2457.77002,2571.419922,2407.530029,2475.560059,1,1,0
3/26/2020,2501.290039,2637.01001,2500.719971,2630.070068,1,1,0
3/27/2020,2555.870117,2615.909912,2520.02002,2541.469971,0,1,0
3/30/2020,2558.97998,2631.800049,2545.280029,2626.649902,1,1,0
3/31/2020,2614.689941,2641.389893,2571.149902,2584.590088,0,1,0
4/1/2020,2498.080078,2522.75,2447.48999,2470.5,0,1,0
4/2/2020,2458.540039,2533.219971,2455.790039,2526.899902,1,1,0
4/3/2020,2514.919922,2538.179932,2459.959961,2488.649902,0,1,0
4/6/2020,2578.280029,2676.850098,2574.570068,2663.679932,1,1,0
4/7/2020,2738.649902,2756.889893,2657.669922,2659.409912,0,1,0
4/8/2020,2685,2760.75,2663.300049,2749.97998,1,1,0
4/9/2020,2776.98999,2818.570068,2762.360107,2789.820068,1,1,0
4/13/2020,2782.459961,2782.459961,2721.169922,2761.629883,0,1,0
4/14/2020,2805.100098,2851.850098,2805.100098,2846.060059,1,1,1
4/15/2020,2795.639893,2801.879883,2761.540039,2783.360107,0,1,0
4/16/2020,2799.340088,2806.51001,2764.320068,2799.550049,1,1,0
4/17/2020,2842.429932,2879.219971,2830.879883,2874.560059,1,1,0
4/20/2020,2845.620117,2868.97998,2820.429932,2823.159912,0,1,0
4/21/2020,2784.810059,2785.540039,2727.100098,2736.560059,0,1,0
4/22/2020,2787.889893,2815.100098,2775.949951,2799.310059,1,1,0
4/23/2020,2810.419922,2844.899902,2794.26001,2797.800049,0,1,0
4/24/2020,2812.639893,2842.709961,2791.76001,2836.73999,1,1,0
4/27/2020,2854.649902,2887.719971,2852.889893,2878.47998,1,1,0
4/28/2020,2909.959961,2921.149902,2862.790039,2866.330078,0,1,0
