2020-02-13  UT Dallas                85 @Belhaven MS              81           
2020-02-13 @Belmont                  74  Tennessee St             51           
2020-02-13  Chaminade                84 @Biola                    72           
2020-02-13 @Sacred Heart             74  Bryant                   65           
2020-02-13 @Campbell                 75  Hampton                  49           
2020-02-13 @Charleston So            66  High Point               63           
2020-02-13 @North Texas              81  Charlotte                72           
2020-02-13 @Hofstra                  76  Col Charleston           63           
2020-02-13  Simon Fraser             79 @Concordia OR             56           
2020-02-13 @Le Tourneau             103  Concordia TX             92           
2020-02-13 @UC San Diego             88  CS Dom. Hills            73           
2020-02-13 @CS Sacramento            70  Southern Utah            55           
2020-02-13  CS Stanislaus            74 @Sonoma St                62           
2020-02-13 @Delta St                 70  West Florida             61           
2020-02-13 @William & Mary           77  Drexel                   72           
2020-02-13  Drury                    80 @Rockhurst                72           
2020-02-13  Idaho                    74 @E Washington             71           
2020-02-13 @F Dickinson             106  Wagner                   73           
2020-02-13 @Ferris St                76  Michigan Tech            71           
2020-02-13 @Findlay                  93  OH Dominican             73           
2020-02-13 @Southern Miss            68  FL Atlantic              66           
2020-02-13  FL Gulf Coast            70 @Kennesaw                 58           
2020-02-13 @Grand Valley St          86  Saginaw Val              74           
2020-02-13  Hardin-Simmons           90 @Howard Payne             75           
2020-02-13  Long Beach St            50 @Hawaii                   49           
2020-02-13  Henderson St             82 @Ouachita                 72           
2020-02-13 @Hillsdale                84  Walsh                    74           
2020-02-13 @S Francisco St           77  Humboldt St              69           
2020-02-13 @Montana St               73  Idaho St                 69           
2020-02-13 @Indiana                  89  Iowa                     77           
2020-02-13 @North Florida            81  Jacksonville             66           
2020-02-13 @Tennessee Tech           75  Jacksonville St          74           
2020-02-13  John Brown               88 @OK City                  82 O1        
2020-02-13  Southeastern FL          69 @Keiser                   68           
2020-02-13 @Lake Superior            82  N Michigan               68           
2020-02-13 @Lee TN                   84  West Georgia             78           
2020-02-13 @Lipscomb                 77  NJIT                     63           
2020-02-13 @UNC Asheville            73  Longwood                 71           
2020-02-13 @South Alabama            78  Louisiana                75           
2020-02-13  MO St Louis              68 @McKendree                65           
2020-02-13  TX A&M Commerce          78 @Midwest TX St            69           
2020-02-13 @Montana                  72  Weber St                 37           
2020-02-13  NW Missouri              96 @MO Southern              75           
2020-02-13  Seattle Pacific          83 @MT St-Billings           62           
2020-02-13 @Northeastern             71  UNC Wilmington           63           
2020-02-13  SW Oklahoma              76 @NW Oklahoma St           74 O1        
2020-02-13  Old Dominion             73 @Rice                     70           
2020-02-13 @Pepperdine               72  San Diego                69           
2020-02-13 @St Edward's              94  Permian Basin            81           
