2020-01-04 @St Edward's              93  Arkansas-FS              75           
2020-01-04  Texas St                 70 @Arkansas St              67           
2020-01-04 @Ark Little Rock          92  UT Arlington             89           
2020-01-04 @Ark Monticello           93  NW Oklahoma St           73           
2020-01-04 @Michigan Tech            76  Ashland                  63           
2020-01-04  Augustana IL             84 @Carthage                 68           
2020-01-04  LaGrange                 84 @Averett                  66           
2020-01-04  Azusa Pacific            98 @Notre Dame CA            64           
2020-01-04 @Lees-McRae              112  Barton                  106 O1        
2020-01-04 @North Greenville        100  Belmont Abbey            96           
2020-01-04  Bemidji St               91 @St Cloud                 82           
2020-01-04  Biola                   113 @Chaminade               107 O4        
2020-01-04 @Black Hills St           87  CO Mesa                  79 O1        
2020-01-04 @Wilmington DE            67  Bloomfield               64           
2020-01-04  Charleston WV            68 @Bluefield WV             43           
2020-01-04 @Bluffton                 87  Transylvania             78           
2020-01-04 @Nevada                   83  Boise St                 66           
2020-01-04 @Bowie St                 75  W Salem St               72           
2020-01-04 @Northern Iowa            69  Bradley                  64           
2020-01-04  Methodist                91 @Brevard                  71           
2020-01-04  F Dickinson              77 @Bryant                   73           
2020-01-04  Bryn Athyn              101 @Valley Forge             91           
2020-01-04 @Butler                   71  Creighton                57           
2020-01-04  New Mexico St            86 @Cal Baptist              71           
2020-01-04 @Caldwell                 91  Goldey Beacom            73           
2020-01-04 @Simpson CA               84  Cal Maritime             74           
2020-01-04  Caltech                  77 @La Verne                 76 O1        
2020-01-04 @Cent Arkansas            79  McNeese St               69           
2020-01-04  St Francis PA            93 @Central Conn             69           
2020-01-04  Clark Atlanta            82 @Central St OH            69           
2020-01-04  Chadron St               83 @Ft Lewis                 71           
2020-01-04 @Hampton                  92  Charleston So            85           
2020-01-04  Chatham                  63 @Grove City               57           
2020-01-04  Chicago                  85 @North Park               65           
2020-01-04  W Carolina               86 @Citadel                  82           
2020-01-04 @Claremont M.S.           76  Whittier                 67           
2020-01-04 @Clarke                   82  Mid Am Nazarene          73           
2020-01-04 @C Michigan               93  Miami OH                 82           
"2020-01-04  Coast Guard              68  Marymount VA             61           York, PA"
2020-01-04 @Col Charleston           85  James Madison            69           
2020-01-04 @Col of Idaho             73  Northwest Chr            61           
2020-01-04 @NM Highlands            102  Colorado Chr             81           
2020-01-04  Colorado Mines           80 @Dixie St                 79 O1        
2020-01-04 @Colorado St              72  Wyoming                  61           
2020-01-04 @Rockford                 82  Concordia IL             80           
2020-01-04  St Thomas MN             85 @Concordia Mhd            49           
2020-01-04  Univ Sciences            72 @Concordia NY             65           
2020-01-04  MT St-Billings           85 @Concordia OR             73           
2020-01-04  Univ Ozarks              75 @Concordia TX             67           
2020-01-04  S Carolina St            79 @Coppin St                75           
2020-01-04 @Covenant                 71  Pfeiffer                 66           
2020-01-04  CS Poly Pomona           61 @S Francisco St           54           
2020-01-04 @CS Sacramento            68  Idaho St                 49           
2020-01-04  CS Stanislaus            92 @Humboldt St              87           
2020-01-04 @UC San Diego             76  CSU East Bay             73           
2020-01-04 @Curry                    69  E Nazarene               62           
2020-01-04 @Simon Fraser             75  C Washington             57           
2020-01-04 @Dallas Bap               72  TX A&M K'ville           55           
2020-01-04 @Davenport                69  Ferris St                65           
2020-01-04  Franklin                 83 @Defiance                 64           
2020-01-04 @Delta St                 84  West Georgia             74 O1        
2020-01-04  Denison                  67 @Oberlin                  63           
2020-01-04  Providence               66 @DePaul                   65           
2020-01-04 @Drake                    80  Indiana St               76           
2020-01-04 @McKendree                80  Drury                    70           
2020-01-04 @Eastern Univ             75  Rowan                    60           
2020-01-04  Lynn                     93 @Eckerd                   84           
2020-01-04 @WI Lutheran              80  Edgewood                 72           
2020-01-04  Jacksonville St          80 @E Kentucky               71           
2020-01-04  Roanoke                  63 @E Mennonite              60 O1        
2020-01-04  E Texas Bap              92 @McMurry                  77           
2020-01-04  Valparaiso               81 @Evansville               79 O1        
2020-01-04  Flagler                  90 @North Georgia            68           
2020-01-04 @FL Atlantic              59  UTEP                     56           
2020-01-04 @FL Gulf Coast            68  Lipscomb                 61           
2020-01-04  Southeastern FL          80 @FL Memorial              58           
2020-01-04 @Webster Univ             78  Fontbonne                65           
2020-01-04  MO Southern              85 @Fort Hays St             67           
2020-01-04 @Franklin Pierce          77  St Michael's             74           
2020-01-04 @Frank & Marsh            62  Neumann                  59           
2020-01-04  Fresno Pacific           69 @Hawaii Pacific           68           
2020-01-04 @Fresno St                79  San Jose St              64           
