STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,STATE,COUNTY,TRACT,BLOCK,GEOID10_1,P0010001,P0010003,P0010004,P0020002,P0030001,P0030003,P0030004,P0040002
37,119,5713,2009,3.71E+14,Block 2009,G5040,,,S,52983,0,35.1443563,-80.6797204,750,37,119,5713,2009,3.71E+14,29,28,0,0,27,26,0,0
37,119,5709,1001,3.71E+14,Block 1001,G5040,,,S,75083,0,35.1333186,-80.6856282,750,37,119,5709,1001,3.71E+14,31,30,0,2,25,25,0,0
37,119,5709,1022,3.71E+14,Block 1022,G5040,,,S,28024,731,35.1267538,-80.6904928,750,37,119,5709,1022,3.71E+14,28,24,0,0,17,15,0,0
37,119,5717,2015,3.71E+14,Block 2015,G5040,,,S,82330,0,35.1432934,-80.7191002,750,37,119,5717,2015,3.71E+14,11,5,2,0,10,5,2,0
37,119,5823,4024,3.71E+14,Block 4024,G5040,,,S,268601,0,35.0769345,-80.7231247,750,37,119,5823,4024,3.71E+14,460,340,46,45,311,228,32,32
37,119,6007,2022,3.71E+14,Block 2022,G5040,,,S,81374,0,35.3264898,-80.9622454,750,37,119,6007,2022,3.71E+14,92,79,3,3,66,60,2,2
37,119,2904,5000,3.71E+14,Block 5000,G5040,,,S,523590,13860,35.1361518,-80.7850553,750,37,119,2904,5000,3.71E+14,613,599,7,12,546,538,5,5
37,119,4305,1006,3.71E+14,Block 1006,G5040,,,S,13844,0,35.2496868,-80.9135669,750,37,119,4305,1006,3.71E+14,42,9,22,11,28,6,16,5
37,119,1910,1000,3.71E+14,Block 1000,G5040,,,S,618573,0,35.1988362,-80.7313572,750,37,119,1910,1000,3.71E+14,1596,317,530,968,1067,203,398,593
37,119,3805,1027,3.71E+14,Block 1027,G5040,,,S,649504,1424,35.1700219,-80.9130825,750,37,119,3805,1027,3.71E+14,0,0,0,0,0,0,0,0
37,119,3805,1030,3.71E+14,Block 1030,G5040,,,S,609280,4670,35.1675307,-80.9199606,750,37,119,3805,1030,3.71E+14,0,0,0,0,0,0,0,0
37,119,1917,1003,3.71E+14,Block 1003,G5040,,,S,195,0,35.2004368,-80.6947296,750,37,119,1917,1003,3.71E+14,0,0,0,0,0,0,0,0
37,119,2003,3007,3.71E+14,Block 3007,G5040,,,S,78635,0,35.1567148,-80.7681954,750,37,119,2003,3007,3.71E+14,146,88,34,22,99,61,20,15
37,119,3805,1013,3.71E+14,Block 1013,G5040,,,S,36557,0,35.1769729,-80.8941986,750,37,119,3805,1013,3.71E+14,237,11,17,9,207,11,10,8
37,119,3500,2003,3.71E+14,Block 2003,G5040,,,S,51626,0,35.2128587,-80.846977,750,37,119,3500,2003,3.71E+14,135,130,4,0,119,116,2,0
37,119,1400,2000,3.71E+14,Block 2000,G5040,,,S,54891,0,35.2491544,-80.8029156,750,37,119,1400,2000,3.71E+14,0,0,0,0,0,0,0,0
37,119,1300,1029,3.71E+14,Block 1029,G5040,,,S,105984,0,35.2395499,-80.7906483,750,37,119,1300,1029,3.71E+14,272,103,150,13,217,92,114,10
37,119,5100,1029,3.71E+14,Block 1029,G5040,,,S,36491,0,35.2709033,-80.845905,750,37,119,5100,1029,3.71E+14,0,0,0,0,0,0,0,0
37,119,5306,1001,3.71E+14,Block 1001,G5040,,,S,45192,0,35.2644524,-80.7826572,750,37,119,5306,1001,3.71E+14,77,15,60,5,53,10,41,5
37,119,1504,1026,3.71E+14,Block 1026,G5040,,,S,1499,0,35.2473789,-80.7769174,750,37,119,1504,1026,3.71E+14,0,0,0,0,0,0,0,0
37,119,400,2002,3.71E+14,Block 2002,G5040,,,S,39414,0,35.2170823,-80.8522441,750,37,119,400,2002,3.71E+14,194,162,14,7,187,156,14,7
37,119,3204,3008,3.71E+14,Block 3008,G5040,,,S,39559,0,35.1744293,-80.849707,750,37,119,3204,3008,3.71E+14,0,0,0,0,0,0,0,0
37,119,3808,2009,3.71E+14,Block 2009,G5040,,,S,21958,0,35.1487134,-80.8839565,750,37,119,3808,2009,3.71E+14,203,55,91,92,147,41,67,61
